Restaurant__c,Name,Price__c,Category__c,Available__c,Prep_Time_Minutes__c,Allergens__c
001DQ00000N9TWWYA3,Horiatiki,18.13,Dessert,true,16.0,"Contains: Fish, Sesame, Shellfish. Ingredients: Carrot, Tomato, Chilli, Sesame Seeds, Anchovy, Shrimp, Paprika, Black Pepper."
001DQ00000N9TWWYA3,Ouzo Sorbet,22.82,Drink,true,19.0,"No known allergens. Ingredients: Coriander, Paprika, Carrot, Cumin, Black Pepper, Bell Pepper, Potato, Olive Oil."
001DQ00000N9TWTYA3,Pad Thai,8.32,Starter,true,31.0,"Contains: Eggs. Ingredients: Onion, Scallion, Chilli, Black Pepper, Basil, Ginger, Egg Noodles, Carrot."
001DQ00000N9TWTYA3,Green Curry,5.27,Main,true,16.0,"Contains: Fish, Sesame. Ingredients: Potato, Basil, Chickpeas, Parsley, Chilli, Eel, Coriander, Sesame Oil."
001DQ00000N9TWTYA3,Red Curry,22.8,Side,true,33.0,"No known allergens. Ingredients: Carrot, Lemon, Chilli, Lettuce, Olive Oil, Bell Pepper, Tomato, Onion."
001DQ00000N9TWTYA3,Tom Yum Soup,22.79,Dessert,true,16.0,"No known allergens. Ingredients: Ginger, Lime, Basil, Scallion, Rice, Paprika, Carrot, Mint."
001DQ00000N9TWTYA3,Massaman Curry,4.86,Drink,true,14.0,"Contains: Shellfish. Ingredients: Black Pepper, Mint, Squid, Paprika, Parsley, Bell Pepper, Potato, Spinach."
001DQ00000N9TWTYA3,Som Tum Salad,12.39,Starter,true,9.0,"Contains: Nuts, Sesame. Ingredients: Sesame Oil, Basil, Tomato, Ginger, Almonds, Cumin, Black Pepper, Garlic."
001DQ00000N9TWTYA3,Spring Rolls,9.75,Main,false,19.0,"Contains: Eggs, Gluten, Nuts. Ingredients: Cumin, Mayonnaise, Black Pepper, Chilli, Soy Sauce, Onion, Almonds, Tomato."
001DQ00000N9TWTYA3,Satay Skewers,6.27,Side,true,12.0,"Contains: Nuts. Ingredients: Peanut Sauce, Basil, Onion, Lime, Mint, Tomato, Olive Oil, Ginger."
001DQ00000N9TWTYA3,Pad See Ew,7.41,Dessert,true,28.0,"No known allergens. Ingredients: Spinach, Mint, Parsley, Basil, Scallion, Coriander, Lettuce, Lime."
001DQ00000N9TWTYA3,Khao Pad,5.32,Drink,true,11.0,"Contains: Sesame. Ingredients: Garlic, Parsley, Mint, Potato, Olive Oil, Onion, Tahini, Lime."
001DQ00000N9TWTYA3,Tom Kha Gai,19.04,Starter,true,33.0,"No known allergens. Ingredients: Lime, Black Pepper, Carrot, Olive Oil, Lemon, Rice, Potato, Tomato."
001DQ00000N9TWTYA3,Panang Curry,10.97,Main,true,30.0,"No known allergens. Ingredients: Chickpeas, Lemon, Coriander, Garlic, Onion, Bell Pepper, Mint, Potato."
001DQ00000N9TWTYA3,Larb Gai,13.59,Side,true,25.0,"No known allergens. Ingredients: Lettuce, Basil, Onion, Tomato, Scallion, Potato, Ginger, Carrot."
001DQ00000N9TWTYA3,Mango Sticky Rice,7.26,Dessert,true,19.0,"No known allergens. Ingredients: Salt, Olive Oil, Lemon, Bell Pepper, Parsley, Basil, Mint, Potato."
001DQ00000N9TWTYA3,Pad Krapow,12.41,Drink,true,21.0,"No known allergens. Ingredients: Lime, Black Pepper, Bell Pepper, Paprika, Scallion, Chilli, Lettuce, Onion."
001DQ00000N9TWTYA3,Thai Fish Cakes,12.16,Starter,true,26.0,"No known allergens. Ingredients: Paprika, Lemon, Spinach, Ginger, Bell Pepper, Coriander, Garlic, Lime."
001DQ00000N9TWTYA3,Drunken Noodles,19.81,Main,true,8.0,"Contains: Fish, Soy. Ingredients: Scallion, Carrot, Spinach, Soy Sauce, Coriander, Fish Sauce, Tomato, Garlic."
001DQ00000N9TWTYA3,Coconut Soup,12.59,Side,true,16.0,"Contains: Shellfish, Soy. Ingredients: Black Pepper, Bell Pepper, Cumin, Parsley, Paprika, Crab, Soy Sauce, Potato."
001DQ00000N9TWTYA3,Thai Iced Tea,13.33,Dessert,true,32.0,"Contains: Dairy. Ingredients: Parsley, Mint, Yogurt, Olive Oil, Chilli, Lime, Tomato, Cumin."
001DQ00000N9TWTYA3,Roti,11.97,Drink,true,14.0,"Contains: Eggs. Ingredients: Basil, Coriander, Salt, Paprika, Potato, Lemon, Egg, Chickpeas."
001DQ00000N9TWXYA3,Chicken Shawarma,12.92,Starter,true,34.0,"Contains: Gluten, Nuts. Ingredients: Naan Bread, Lime, Peanuts, Scallion, Potato, Chickpeas, Tomato, Onion."
001DQ00000N9TWXYA3,Falafel Wrap,8.86,Main,true,29.0,"No known allergens. Ingredients: Carrot, Garlic, Parsley, Onion, Scallion, Tomato, Lime, Mint."
001DQ00000N9TWXYA3,Hummus and Pita,14.8,Side,true,32.0,"No known allergens. Ingredients: Lemon, Black Pepper, Ginger, Chickpeas, Basil, Rice, Olive Oil, Tomato."
001DQ00000N9TWXYA3,Tabbouleh,17.07,Dessert,true,23.0,"Contains: Shellfish. Ingredients: Lime, Ginger, Spinach, Prawns, Mint, Onion, Garlic, Rice."
001DQ00000N9TWXYA3,Fattoush,17.51,Drink,true,15.0,"Contains: Eggs. Ingredients: Black Pepper, Rice, Egg Noodles, Salt, Onion, Paprika, Ginger, Spinach."
001DQ00000N9TWXYA3,Lamb Kofta,13.57,Starter,true,17.0,"No known allergens. Ingredients: Olive Oil, Spinach, Garlic, Lime, Potato, Lettuce, Cumin, Scallion."
001DQ00000N9TWXYA3,Baba Ganoush,12.6,Main,true,13.0,"Contains: Eggs. Ingredients: Paprika, Chilli, Bell Pepper, Rice, Cumin, Tomato, Egg Noodles, Basil."
001DQ00000N9TWXYA3,Mixed Mezze,7.8,Side,false,16.0,"No known allergens. Ingredients: Ginger, Parsley, Black Pepper, Scallion, Rice, Salt, Spinach, Bell Pepper."
001DQ00000N9TWXYA3,Manakish,8.26,Dessert,true,23.0,"No known allergens. Ingredients: Black Pepper, Paprika, Garlic, Carrot, Mint, Spinach, Lettuce, Olive Oil."
001DQ00000N9TWXYA3,Baklava,22.02,Drink,true,16.0,"No known allergens. Ingredients: Paprika, Ginger, Lemon, Chilli, Tomato, Garlic, Onion, Lettuce."
001DQ00000N9TWXYA3,Shish Taouk,23.1,Starter,true,16.0,"Contains: Gluten, Sesame, Shellfish. Ingredients: Wheat Flour, Olive Oil, Chilli, Sesame Seeds, Coriander, Crab, Lime, Lettuce."
001DQ00000N9TWXYA3,Kibbeh,12.14,Main,true,21.0,"No known allergens. Ingredients: Spinach, Paprika, Cumin, Bell Pepper, Garlic, Chilli, Parsley, Potato."
001DQ00000N9TWXYA3,Moutabal,14.22,Side,true,22.0,"No known allergens. Ingredients: Coriander, Lettuce, Spinach, Parsley, Bell Pepper, Ginger, Carrot, Olive Oil."
001DQ00000N9TWXYA3,Vine Leaves,8.38,Dessert,true,15.0,"No known allergens. Ingredients: Chickpeas, Rice, Tomato, Lemon, Olive Oil, Ginger, Black Pepper, Chilli."
001DQ00000N9TWXYA3,Lentil Soup,13.76,Drink,true,34.0,"Contains: Eggs. Ingredients: Egg, Rice, Chickpeas, Bell Pepper, Lettuce, Garlic, Olive Oil, Ginger."
001DQ00000N9TWXYA3,Halloumi Skewers,19.61,Starter,true,8.0,"No known allergens. Ingredients: Garlic, Salt, Rice, Mint, Chilli, Lime, Lettuce, Scallion."
001DQ00000N9TWXYA3,Muhammara,20.39,Main,true,21.0,"Contains: Dairy. Ingredients: Parsley, Scallion, Rice, Tomato, Potato, Garlic, Milk, Mint."
001DQ00000N9TWXYA3,Knafeh,17.23,Side,true,16.0,"Contains: Soy. Ingredients: Mint, Chickpeas, Salt, Ginger, Spinach, Garlic, Scallion, Edamame."
001DQ00000N9TWXYA3,Labneh Bowl,8.47,Dessert,false,13.0,"Contains: Gluten. Ingredients: Chickpeas, Cumin, Onion, Garlic, Naan Bread, Carrot, Coriander, Salt."
001DQ00000N9TWXYA3,Rose Lemonade,7.34,Drink,true,24.0,"No known allergens. Ingredients: Bell Pepper, Coriander, Ginger, Potato, Rice, Tomato, Black Pepper, Garlic."
001DQ00000N9TWGYA3,Margherita,16.99,Starter,true,27.0,"Contains: Shellfish. Ingredients: Rice, Black Pepper, Scallion, Garlic, Cumin, Squid, Chickpeas, Basil."
001DQ00000N9TWGYA3,Pepperoni,5.3,Main,true,32.0,"Contains: Eggs. Ingredients: Egg, Black Pepper, Parsley, Ginger, Lettuce, Spinach, Lime, Carrot."
001DQ00000N9TWGYA3,Quattro Formaggi,7.99,Side,false,23.0,"Contains: Sesame. Ingredients: Carrot, Black Pepper, Coriander, Tomato, Tahini, Cumin, Potato, Bell Pepper."
001DQ00000N9TWGYA3,Diavola,5.29,Dessert,true,31.0,"No known allergens. Ingredients: Tomato, Garlic, Coriander, Onion, Scallion, Black Pepper, Lime, Basil."
001DQ00000N9TWGYA3,Marinara,10.11,Drink,true,33.0,"No known allergens. Ingredients: Scallion, Chilli, Lemon, Tomato, Olive Oil, Salt, Cumin, Lettuce."
001DQ00000N9TWGYA3,Capricciosa,8.56,Starter,true,24.0,"No known allergens. Ingredients: Cumin, Chilli, Mint, Black Pepper, Salt, Rice, Garlic, Lemon."
001DQ00000N9TWGYA3,Hawaiian,23.34,Main,true,24.0,"Contains: Gluten. Ingredients: Parsley, Lemon, Salt, Black Pepper, Breadcrumbs, Paprika, Lime, Mint."
001DQ00000N9TWGYA3,Prosciutto e Funghi,16.5,Side,true,17.0,"Contains: Dairy, Soy. Ingredients: Coriander, Spinach, Garlic, Cheese, Edamame, Scallion, Olive Oil, Ginger."
001DQ00000N9TWGYA3,Vegetariana,16.44,Dessert,false,9.0,"No known allergens. Ingredients: Salt, Olive Oil, Basil, Bell Pepper, Parsley, Ginger, Spinach, Scallion."
001DQ00000N9TWGYA3,Calzone,7.59,Drink,false,33.0,"No known allergens. Ingredients: Black Pepper, Carrot, Tomato, Bell Pepper, Scallion, Lemon, Chickpeas, Coriander."
001DQ00000N9TWGYA3,Garlic Bread,16.24,Starter,true,23.0,"No known allergens. Ingredients: Olive Oil, Parsley, Scallion, Garlic, Black Pepper, Cumin, Onion, Lime."
001DQ00000N9TWGYA3,Bruschetta,8.39,Main,true,24.0,"Contains: Fish. Ingredients: Tomato, Cumin, Basil, Potato, Paprika, Garlic, Ginger, Fish Sauce."
001DQ00000N9TWGYA3,Caprese Salad,7.92,Side,true,16.0,"No known allergens. Ingredients: Spinach, Lemon, Parsley, Garlic, Bell Pepper, Mint, Chilli, Scallion."
001DQ00000N9TWGYA3,Tiramisu,7.81,Dessert,true,34.0,"Contains: Dairy, Eggs. Ingredients: Black Pepper, Scallion, Egg, Olive Oil, Paneer, Lettuce, Chilli, Parsley."
001DQ00000N9TWGYA3,Bufalina,15.62,Drink,true,14.0,"Contains: Gluten. Ingredients: Lettuce, Coriander, Garlic, Onion, Pasta, Scallion, Cumin, Bell Pepper."
001DQ00000N9TWGYA3,Quattro Stagioni,18.01,Starter,true,30.0,"No known allergens. Ingredients: Rice, Chickpeas, Salt, Garlic, Parsley, Lime, Black Pepper, Tomato."
001DQ00000N9TWGYA3,Napoli,23.01,Main,true,32.0,"Contains: Soy. Ingredients: Mint, Ginger, Bell Pepper, Chilli, Soybean Oil, Coriander, Scallion, Rice."
001DQ00000N9TWGYA3,Salami Piccante,5.44,Side,true,18.0,"Contains: Fish, Sesame. Ingredients: Lime, Spinach, Paprika, Basil, Sesame Oil, Onion, Scallion, Fish Sauce."
001DQ00000N9TWGYA3,Focaccia,15.7,Dessert,true,21.0,"No known allergens. Ingredients: Ginger, Rice, Bell Pepper, Potato, Chickpeas, Salt, Onion, Garlic."
001DQ00000N9TWGYA3,Panna Cotta,10.03,Drink,true,30.0,"No known allergens. Ingredients: Mint, Potato, Bell Pepper, Lime, Chilli, Tomato, Cumin, Parsley."
001DQ00000N9TWHYA3,Classic Cheeseburger,11.75,Starter,true,21.0,"Contains: Dairy, Eggs, Shellfish. Ingredients: Yogurt, Garlic, Parsley, Squid, Mint, Egg, Lettuce, Lime."
001DQ00000N9TWHYA3,Bacon Deluxe,7.81,Main,true,32.0,"No known allergens. Ingredients: Carrot, Olive Oil, Chilli, Coriander, Lemon, Basil, Rice, Scallion."
001DQ00000N9TWHYA3,Veggie Burger,23.51,Side,true,27.0,"Contains: Dairy. Ingredients: Yogurt, Lemon, Cumin, Bell Pepper, Rice, Lime, Chilli, Mint."
001DQ00000N9TWHYA3,Double Smash,8.33,Dessert,true,11.0,"No known allergens. Ingredients: Spinach, Basil, Olive Oil, Garlic, Carrot, Black Pepper, Onion, Scallion."
001DQ00000N9TWHYA3,BBQ Burger,4.61,Drink,true,35.0,"Contains: Fish. Ingredients: Chickpeas, Cumin, Paprika, Tuna, Olive Oil, Mint, Lime, Bell Pepper."
001DQ00000N9TWHYA3,Mushroom Swiss,19.76,Starter,true,28.0,"No known allergens. Ingredients: Potato, Carrot, Cumin, Lettuce, Onion, Spinach, Basil, Scallion."
001DQ00000N9TWHYA3,Spicy Jalapeno,9.4,Main,true,30.0,"Contains: Shellfish, Soy. Ingredients: Basil, Carrot, Tofu, Potato, Parsley, Chickpeas, Rice, Crab."
001DQ00000N9TWHYA3,Chicken Burger,8.6,Side,true,20.0,"Contains: Gluten. Ingredients: Garlic, Salt, Lettuce, Mint, Lemon, Black Pepper, Pita Bread, Scallion."
001DQ00000N9TWHYA3,Fish Burger,15.81,Dessert,true,17.0,"Contains: Fish, Shellfish. Ingredients: Squid, Coriander, Tomato, Potato, Rice, Anchovy, Scallion, Cumin."
001DQ00000N9TWHYA3,Sweet Potato Fries,19.32,Drink,true,32.0,"Contains: Eggs, Fish. Ingredients: Black Pepper, Eel, Spinach, Paprika, Lime, Lemon, Egg, Cumin."
001DQ00000N9TWHYA3,Onion Rings,10.75,Starter,true,27.0,"Contains: Eggs. Ingredients: Ginger, Black Pepper, Garlic, Chilli, Egg, Tomato, Coriander, Chickpeas."
001DQ00000N9TWHYA3,Loaded Fries,17.29,Main,true,11.0,"Contains: Shellfish. Ingredients: Parsley, Shrimp, Coriander, Cumin, Salt, Rice, Black Pepper, Carrot."
001DQ00000N9TWHYA3,Caesar Salad,14.85,Side,true,22.0,"Contains: Gluten. Ingredients: Lemon, Olive Oil, Chickpeas, Coriander, Bell Pepper, Potato, Spinach, Pasta."
001DQ00000N9TWHYA3,Milkshake,7.71,Dessert,true,31.0,"No known allergens. Ingredients: Ginger, Spinach, Potato, Chickpeas, Carrot, Chilli, Lime, Salt."
001DQ00000N9TWHYA3,Pulled Pork Burger,4.9,Drink,false,31.0,"Contains: Eggs, Fish, Nuts. Ingredients: Coriander, Rice, Anchovy, Garlic, Lime, Egg Noodles, Spinach, Peanut Sauce."
001DQ00000N9TWHYA3,Halloumi Burger,10.04,Starter,true,16.0,"Contains: Soy. Ingredients: Potato, Chilli, Lemon, Edamame, Black Pepper, Lettuce, Salt, Basil."
001DQ00000N9TWHYA3,Truffle Fries,10.68,Main,true,26.0,"Contains: Fish, Gluten, Nuts. Ingredients: Chickpeas, Garlic, Peanut Sauce, Parsley, Ginger, Black Pepper, Naan Bread, Fish Sauce."
001DQ00000N9TWHYA3,Coleslaw,19.89,Side,true,27.0,"Contains: Dairy. Ingredients: Rice, Mint, Bell Pepper, Carrot, Paprika, Cream, Cumin, Garlic."
001DQ00000N9TWHYA3,Brownie,11.69,Dessert,true,33.0,"No known allergens. Ingredients: Ginger, Cumin, Lemon, Lime, Onion, Garlic, Spinach, Chilli."
001DQ00000N9TWHYA3,Cola Float,20.58,Drink,true,21.0,"Contains: Fish. Ingredients: Onion, Tomato, Lettuce, Anchovy, Black Pepper, Paprika, Chickpeas, Coriander."
001DQ00000N9TWeYAN,Chicken Tacos,8.64,Starter,true,8.0,"Contains: Nuts. Ingredients: Rice, Onion, Coriander, Peanuts, Tomato, Potato, Lemon, Bell Pepper."
001DQ00000N9TWeYAN,Beef Burrito,18.73,Main,true,28.0,"Contains: Sesame. Ingredients: Scallion, Sesame Oil, Mint, Lettuce, Onion, Lemon, Garlic, Paprika."
001DQ00000N9TWeYAN,Quesadilla,10.67,Side,true,31.0,"Contains: Dairy. Ingredients: Mint, Butter, Bell Pepper, Spinach, Potato, Cumin, Salt, Black Pepper."
001DQ00000N9TWeYAN,Nachos Supreme,16.63,Dessert,true,33.0,"Contains: Eggs, Fish. Ingredients: Egg Noodles, Coriander, Ginger, Salmon, Olive Oil, Chickpeas, Lettuce, Spinach."
001DQ00000N9TWeYAN,Enchiladas,17.93,Drink,true,16.0,"Contains: Nuts. Ingredients: Salt, Chickpeas, Almonds, Parsley, Scallion, Potato, Lemon, Coriander."
001DQ00000N9TWeYAN,Carnitas Bowl,10.53,Starter,false,20.0,"Contains: Shellfish. Ingredients: Lettuce, Carrot, Onion, Black Pepper, Chickpeas, Crab, Tomato, Parsley."
001DQ00000N9TWeYAN,Guacamole and Chips,21.76,Main,true,23.0,"Contains: Shellfish. Ingredients: Scallion, Tomato, Shrimp, Ginger, Rice, Cumin, Chickpeas, Salt."
001DQ00000N9TWeYAN,Chilli Con Carne,11.79,Side,true,28.0,"Contains: Gluten. Ingredients: Lemon, Basil, Lettuce, Onion, Salt, Paprika, Soy Sauce, Chilli."
001DQ00000N9TWeYAN,Fajitas,9.6,Dessert,true,21.0,"No known allergens. Ingredients: Rice, Chickpeas, Chilli, Lemon, Garlic, Carrot, Coriander, Lettuce."
001DQ00000N9TWeYAN,Churros,21.48,Drink,true,35.0,"Contains: Fish, Gluten, Soy. Ingredients: Tofu, Anchovy, Chilli, Chickpeas, Tomato, Pita Bread, Lemon, Lime."
001DQ00000N9TWeYAN,Fish Tacos,21.07,Starter,true,15.0,"Contains: Gluten, Nuts, Shellfish. Ingredients: Onion, Parsley, Garlic, Peanuts, Breadcrumbs, Lemon, Crab, Basil."
001DQ00000N9TWeYAN,Veggie Burrito,17.7,Main,true,26.0,"Contains: Gluten. Ingredients: Bell Pepper, Naan Bread, Salt, Black Pepper, Potato, Lemon, Chilli, Lime."
001DQ00000N9TWeYAN,Elote,13.62,Side,true,33.0,"No known allergens. Ingredients: Coriander, Bell Pepper, Tomato, Lettuce, Salt, Black Pepper, Carrot, Olive Oil."
001DQ00000N9TWeYAN,Tamales,13.81,Dessert,true,12.0,"No known allergens. Ingredients: Cumin, Coriander, Scallion, Chickpeas, Garlic, Mint, Carrot, Parsley."
001DQ00000N9TWeYAN,Tostada,15.63,Drink,true,33.0,"No known allergens. Ingredients: Chilli, Basil, Scallion, Carrot, Bell Pepper, Coriander, Lime, Potato."
001DQ00000N9TWeYAN,Pozole,9.53,Starter,true,19.0,"Contains: Soy. Ingredients: Garlic, Cumin, Bell Pepper, Black Pepper, Soy Sauce, Spinach, Olive Oil, Ginger."
001DQ00000N9TWeYAN,Sopapilla,14.46,Main,true,33.0,"Contains: Gluten, Soy. Ingredients: Spinach, Edamame, Cumin, Lemon, Rice, Naan Bread, Chickpeas, Garlic."
001DQ00000N9TWeYAN,Horchata,8.34,Side,false,10.0,"Contains: Fish, Sesame. Ingredients: Scallion, Chickpeas, Rice, Coriander, Mint, Sesame Oil, Tuna, Lettuce."
001DQ00000N9TWeYAN,Refried Beans,14.61,Dessert,true,17.0,"Contains: Nuts, Sesame. Ingredients: Coriander, Paprika, Cumin, Olive Oil, Potato, Peanut Sauce, Sesame Seeds, Lemon."
001DQ00000N9TWeYAN,Salsa Verde,23.39,Drink,false,19.0,"Contains: Eggs, Fish. Ingredients: Bell Pepper, Chickpeas, Garlic, Carrot, Anchovy, Potato, Ginger, Egg Noodles."
001DQ00000N9TWhYAN,Chicken Shawarma,8.86,Starter,true,11.0,"No known allergens. Ingredients: Onion, Paprika, Rice, Lime, Parsley, Carrot, Lemon, Bell Pepper."
001DQ00000N9TWhYAN,Falafel Wrap,5.38,Main,true,23.0,"Contains: Soy. Ingredients: Tofu, Chickpeas, Scallion, Olive Oil, Coriander, Parsley, Bell Pepper, Black Pepper."
001DQ00000N9TWhYAN,Hummus and Pita,7.7,Side,true,28.0,"Contains: Fish. Ingredients: Black Pepper, Fish Sauce, Chilli, Paprika, Garlic, Basil, Lettuce, Salt."
001DQ00000N9TWhYAN,Tabbouleh,10.84,Dessert,true,29.0,"Contains: Fish, Sesame, Shellfish. Ingredients: Sesame Seeds, Spinach, Chilli, Eel, Prawns, Tomato, Cumin, Basil."
001DQ00000N9TWhYAN,Fattoush,23.41,Drink,true,22.0,"Contains: Nuts. Ingredients: Parsley, Lemon, Garlic, Paprika, Lime, Peanuts, Lettuce, Mint."
001DQ00000N9TWhYAN,Lamb Kofta,23.04,Starter,true,17.0,"No known allergens. Ingredients: Lemon, Carrot, Tomato, Bell Pepper, Basil, Cumin, Lettuce, Garlic."
001DQ00000N9TWhYAN,Baba Ganoush,15.76,Main,true,31.0,"No known allergens. Ingredients: Parsley, Rice, Ginger, Black Pepper, Carrot, Chickpeas, Lettuce, Olive Oil."
001DQ00000N9TWhYAN,Mixed Mezze,5.1,Side,true,14.0,"Contains: Fish. Ingredients: Cumin, Fish Sauce, Chilli, Black Pepper, Parsley, Onion, Salt, Olive Oil."
001DQ00000N9TWhYAN,Manakish,19.56,Dessert,true,10.0,"Contains: Eggs. Ingredients: Mayonnaise, Garlic, Black Pepper, Bell Pepper, Paprika, Salt, Carrot, Basil."
001DQ00000N9TWhYAN,Baklava,7.24,Drink,true,27.0,"Contains: Eggs, Gluten. Ingredients: Paprika, Potato, Spinach, Coriander, Mint, Lemon, Flour Tortilla, Egg Noodles."
001DQ00000N9TWhYAN,Shish Taouk,23.27,Starter,true,21.0,"Contains: Fish, Soy. Ingredients: Tofu, Anchovy, Carrot, Salt, Mint, Scallion, Lime, Ginger."
001DQ00000N9TWhYAN,Kibbeh,4.63,Main,true,23.0,"Contains: Soy. Ingredients: Spinach, Soy Sauce, Coriander, Olive Oil, Chickpeas, Ginger, Black Pepper, Parsley."
001DQ00000N9TWhYAN,Moutabal,23.46,Side,true,8.0,"No known allergens. Ingredients: Mint, Chickpeas, Parsley, Lemon, Potato, Spinach, Ginger, Lettuce."
001DQ00000N9TWhYAN,Vine Leaves,13.33,Dessert,false,10.0,"Contains: Gluten. Ingredients: Naan Bread, Salt, Basil, Mint, Parsley, Chickpeas, Coriander, Black Pepper."
001DQ00000N9TWhYAN,Lentil Soup,17.99,Drink,true,10.0,"No known allergens. Ingredients: Chilli, Mint, Tomato, Salt, Ginger, Basil, Bell Pepper, Cumin."
001DQ00000N9TWhYAN,Halloumi Skewers,20.42,Starter,true,14.0,"Contains: Nuts. Ingredients: Salt, Spinach, Lettuce, Onion, Chickpeas, Garlic, Bell Pepper, Pistachios."
001DQ00000N9TWhYAN,Muhammara,20.92,Main,true,29.0,"No known allergens. Ingredients: Basil, Parsley, Paprika, Potato, Cumin, Lemon, Coriander, Chickpeas."
001DQ00000N9TWhYAN,Knafeh,5.07,Side,false,24.0,"Contains: Sesame. Ingredients: Chickpeas, Coriander, Onion, Tahini, Spinach, Chilli, Garlic, Mint."
001DQ00000N9TWhYAN,Labneh Bowl,21.26,Dessert,true,10.0,"No known allergens. Ingredients: Onion, Black Pepper, Paprika, Olive Oil, Lettuce, Garlic, Carrot, Lime."
001DQ00000N9TWhYAN,Rose Lemonade,7.61,Drink,true,13.0,"No known allergens. Ingredients: Carrot, Spinach, Lettuce, Ginger, Lemon, Olive Oil, Potato, Tomato."
001DQ00000N9TWdYAN,Pad Thai,12.27,Starter,true,8.0,"Contains: Nuts, Shellfish. Ingredients: Ginger, Lime, Cashews, Black Pepper, Cumin, Salt, Shrimp, Onion."
001DQ00000N9TWdYAN,Green Curry,17.2,Main,true,21.0,"Contains: Eggs, Soy. Ingredients: Soybean Oil, Carrot, Ginger, Olive Oil, Spinach, Salt, Rice, Egg."
001DQ00000N9TWdYAN,Red Curry,18.26,Side,true,16.0,"Contains: Dairy. Ingredients: Cumin, Halloumi, Black Pepper, Olive Oil, Carrot, Salt, Mint, Rice."
001DQ00000N9TWdYAN,Tom Yum Soup,8.93,Dessert,true,12.0,"Contains: Sesame, Shellfish, Soy. Ingredients: Rice, Coriander, Black Pepper, Shrimp, Edamame, Lettuce, Basil, Tahini."
